raw_case_name,source_x_mm,source_y_mm,source_z_mm,leak_rate_ml_min,case_id,data_index,data_dir,raw_file_count,selected_steps,frame_time_start,frame_time_end,raw_node_count,raw_u_min,raw_u_max,raw_v_min,raw_v_max,raw_w_min,raw_w_max,raw_total_bytes_selected,repaired_frame_count,repaired_frame_times,available_unique_frame_count,frame_selection_mode,ignored_downloading_count,discarded_duplicate_count,ignored_bad_name_count,original_case_id,original_data_index,quality_action,quality_reason,position_key,rate_key
"0,-150,0,1000mlmin",0,-150,0,1000,case_0000,0,"D:\BaiduNetdiskDownload\0,-150,0,1000mlmin",120,120,1.0,120.0,6164074,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59175120000,,,,,,,,case_0000,0,kept,,"0,-150,0",1000
"0,-150,0,400mlmin",0,-150,0,400,case_0003,1,"F:\氢泄露\0,-150,0,400mlmin",120,120,1.0,120.0,6164074,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59175120000,,,,,,,,case_0003,3,kept,,"0,-150,0",400
"0,-150,0,50mlmin",0,-150,0,50,case_0004,2,"F:\氢泄露\0,-150,0,50mlmin",120,120,1.0,120.0,6164074,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59175120000,,,,,,,,case_0004,4,kept,,"0,-150,0",50
"0,-150,0,600mlmin",0,-150,0,600,case_0005,3,"F:\氢泄露\0,-150,0,600mlmin",120,120,1.0,120.0,6164074,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59175120000,,,,,,,,case_0005,5,kept,,"0,-150,0",600
"0,-150,0,800mlmin",0,-150,0,800,case_0006,4,"F:\氢泄露\0,-150,0,800mlmin",120,120,1.0,120.0,6164074,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59175120000,0,,,,,,,case_0006,6,kept,,"0,-150,0",800
"100,0,0,1000mlmin",100,0,0,1000,case_0007,5,"D:\BaiduNetdiskDownload\6,100,0,0-1000,800,600\100,0,0,1000mlmin",120,120,1.0,120.0,5116753,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49120838400,0,,,,,,,case_0007,7,kept,,"100,0,0",1000
"100,0,0,600mlmin",100,0,0,600,case_0008,6,"D:\BaiduNetdiskDownload\6,100,0,0-1000,800,600\100,0,0,600mlmin",120,120,1.0,120.0,4988820,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,47892681600,0,,,,,,,case_0008,8,kept,,"100,0,0",600
"100,0,0,800mlmin",100,0,0,800,case_0009,7,"D:\BaiduNetdiskDownload\6,100,0,0-1000,800,600\100,0,0,800mlmin",120,120,1.0,120.0,4988820,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,47892681600,0,,,,,,,case_0009,9,kept,,"100,0,0",800
"200,-150,0,1000mlmin",200,-150,0,1000,case_0010,8,"F:\氢泄露\200,-150,0,1000mlmin\all",120,120,1.0,120.0,5141417,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49357612800,0,,,,,,,case_0010,10,kept,,"200,-150,0",1000
"200,-150,0,400mlmin",200,-150,0,400,case_0011,9,"F:\氢泄露\200,-150,0,400mlmin\all",120,120,1.0,120.0,5141417,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49357612800,4,17;18;19;20,,,,,,case_0011,11,kept,,"200,-150,0",400
"200,-150,0,50mlmin",200,-150,0,50,case_0012,10,"F:\氢泄露\200,-150,0,50mlmin\all",240,120,1.0,120.0,5141417,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49357612800,0,,,,,,,case_0012,12,kept,,"200,-150,0",50
"200,-150,0,600mlmin",200,-150,0,600,case_0013,11,"F:\氢泄露\200,-150,0,600mlmin\all",120,120,1.0,120.0,5141417,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49357612800,0,,,,,,,case_0013,13,kept,,"200,-150,0",600
"200,-150,0,800mlmin",200,-150,0,800,case_0014,12,"F:\氢泄露\200,-150,0,800mlmin\all",120,120,1.0,120.0,5141417,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49357612800,0,,,,,,,case_0014,14,kept,,"200,-150,0",800
"6,200,-300,1000",200,-300,0,1000,case_0017,13,"F:\氢泄露\6,200,-300,1000\all",120,120,1.0,120.0,5155709,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49494816000,0,,120,integer_aligned,0,0,0,case_0017,17,kept,,"200,-300,0",1000
"6,200,-300,400",200,-300,0,400,case_0019,14,"F:\氢泄露\6,200,-300,400\all",120,120,1.0,120.0,5155709,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49494816000,0,,120,integer_aligned,0,0,0,case_0019,19,kept,,"200,-300,0",400
"6,200,-300,50",200,-300,0,50,case_0020,15,"F:\氢泄露\6,200,-300,50\all",240,120,1.0,120.0,5155709,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49494816000,0,,240,integer_aligned,0,0,0,case_0020,20,kept,,"200,-300,0",50
"6,200,-300,600",200,-300,0,600,case_0021,16,"F:\氢泄露\6,200,-300,600\600mlmin,0.59ms\all",120,120,1.0,120.0,5155709,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49494816000,0,,120,integer_aligned,0,0,0,case_0021,21,kept,,"200,-300,0",600
"6,200,-300,800",200,-300,0,800,case_0022,17,"F:\氢泄露\6,200,-300,800\all",120,120,1.0,120.0,5155709,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49494816000,4,52;53;54;55,120,integer_aligned,0,0,0,case_0022,22,kept,,"200,-300,0",800
